newID,treatment,Period,Subject,id,BS,CN,type,daAaB,daBaA,actualDaAaB,actualDaBaA,prevA,prevB
101,A incentive,1,1,1,0,1,2,NA,8,2,NA,NA,NA
101,A incentive,2,1,1,0,1,1,7,NA,NA,5,NA,2
101,A incentive,3,1,1,0,1,2,NA,5,6,NA,5,2
101,A incentive,4,1,1,0,1,1,10,NA,NA,0,5,6
101,A incentive,5,1,1,0,1,2,NA,9,10,NA,0,6
101,A incentive,6,1,1,0,1,1,9,NA,NA,20,0,10
101,A incentive,7,1,1,0,1,2,NA,9,10,NA,20,10
101,A incentive,8,1,1,0,1,1,8,NA,NA,0,20,10
101,A incentive,9,1,1,0,1,2,NA,3,2,NA,0,10
101,A incentive,10,1,1,0,1,1,7,NA,NA,0,0,2
102,A incentive,1,2,2,0,1,1,5,NA,NA,4,NA,NA
102,A incentive,2,2,2,0,1,2,NA,8,5,NA,4,NA
102,A incentive,3,2,2,0,1,1,6,NA,NA,11,4,5
102,A incentive,4,2,2,0,1,2,NA,13,4,NA,11,5
102,A incentive,5,2,2,0,1,1,8,NA,NA,5,11,4
102,A incentive,6,2,2,0,1,2,NA,20,9,NA,5,4
102,A incentive,7,2,2,0,1,1,9,NA,NA,5,5,9
102,A incentive,8,2,2,0,1,2,NA,15,3,NA,5,9
102,A incentive,9,2,2,0,1,1,9,NA,NA,1,5,3
102,A incentive,10,2,2,0,1,2,NA,10,1,NA,1,3
103,A incentive,1,3,3,0,1,2,NA,10,10,NA,NA,NA
103,A incentive,2,3,3,0,1,1,5,NA,NA,8,NA,10
103,A incentive,3,3,3,0,1,2,NA,5,6,NA,8,10
103,A incentive,4,3,3,0,1,1,3,NA,NA,1,8,6
103,A incentive,5,3,3,0,1,2,NA,1,2,NA,1,6
103,A incentive,6,3,3,0,1,1,2,NA,NA,0,1,2
103,A incentive,7,3,3,0,1,2,NA,4,7,NA,0,2
103,A incentive,8,3,3,0,1,1,3,NA,NA,15,0,7
103,A incentive,9,3,3,0,1,2,NA,2,3,NA,15,7
103,A incentive,10,3,3,0,1,1,4,NA,NA,7,15,3
104,A incentive,1,4,4,0,1,1,6,NA,NA,5,NA,NA
104,A incentive,2,4,4,0,1,2,NA,4,4,NA,5,NA
104,A incentive,3,4,4,0,1,1,3,NA,NA,0,5,4
104,A incentive,4,4,4,0,1,2,NA,20,10,NA,0,4
104,A incentive,5,4,4,0,1,1,9,NA,NA,8,0,10
104,A incentive,6,4,4,0,1,2,NA,4,4,NA,8,10
104,A incentive,7,4,4,0,1,1,5,NA,NA,4,8,4
104,A incentive,8,4,4,0,1,2,NA,10,9,NA,4,4
104,A incentive,9,4,4,0,1,1,7,NA,NA,3,4,9
104,A incentive,10,4,4,0,1,2,NA,7,4,NA,3,9
105,A incentive,1,5,5,0,1,2,NA,7,4,NA,NA,NA
105,A incentive,2,5,5,0,1,1,8,NA,NA,5,NA,4
105,A incentive,3,5,5,0,1,2,NA,2,5,NA,5,4
105,A incentive,4,5,5,0,1,1,10,NA,NA,20,5,5
105,A incentive,5,5,5,0,1,2,NA,10,4,NA,20,5
105,A incentive,6,5,5,0,1,1,10,NA,NA,4,20,4
105,A incentive,7,5,5,0,1,2,NA,5,9,NA,4,4
105,A incentive,8,5,5,0,1,1,9,NA,NA,10,4,9
105,A incentive,9,5,5,0,1,2,NA,5,6,NA,10,9
105,A incentive,10,5,5,0,1,1,6,NA,NA,4,10,6
106,A incentive,1,6,6,0,1,1,7,NA,NA,8,NA,NA
106,A incentive,2,6,6,0,1,2,NA,12,8,NA,8,NA
106,A incentive,3,6,6,0,1,1,6,NA,NA,5,8,8
106,A incentive,4,6,6,0,1,2,NA,8,3,NA,5,8
106,A incentive,5,6,6,0,1,1,9,NA,NA,7,5,3
