"","Group","X00","X01","X10","X11"
"1",1,1,99,210,212
"2",1,3,8,33,28
"3",1,12,184,171,102
"4",1,18,185,176,127
"5",1,49,201,223,204
"6",1,24,173,65,20
"7",2,72,208,77,82
"8",2,35,148,117,180
"9",2,27,43,40,27
"10",2,86,154,148,173
"11",2,12,228,132,199
"12",2,4,121,102,118
"13",3,23,121,235,237
"14",3,135,155,210,226
"15",3,37,128,172,192
"16",3,150,248,316,371
"17",3,107,299,338,340
"18",3,27,197,246,274
"19",4,85,172,217,175
"20",4,99,228,44,168
"21",4,94,177,207,207
"22",4,87,142,181,164
"23",4,141,204,193,158
"24",4,116,214,233,269
"25",5,96,111,238,144
"26",5,39,55,40,119
"27",5,102,127,115,150
"28",5,27,41,42,69
"29",5,86,142,126,105
"30",5,186,169,152,205
