"player_uid";"period";"treatment";"group";"receiver_uid";"sender_uid";"sent";"received";"sent_back";"returned";"period_payoff";"cumulative_payoff"
1;1;0;1;6;5;9;6;0;14;21;21
1;2;0;1;4;3;5;9;1;9;22;43
1;3;0;1;3;5;1;9;1;0;17;60
1;4;0;1;5;2;3;15;4;0;18;78
1;5;0;1;4;5;1;9;0;1;19;97
1;6;0;1;5;5;4;3;0;0;9;106
1;7;0;1;3;6;6;30;5;1;30;136
1;8;0;1;6;5;10;9;0;15;24;160
1;9;0;1;2;6;10;30;10;8;28;188
1;10;0;1;4;2;10;9;0;10;19;207
1;11;0;1;4;5;9;0;0;13;14;221
1;12;0;1;5;6;0;30;0;0;40;261
1;13;0;1;6;5;0;0;0;0;10;271
1;14;0;1;4;2;5;15;0;3;23;294
1;15;0;1;6;2;10;18;0;15;33;327
1;16;0;1;6;4;5;15;0;8;28;355
1;17;0;1;5;3;10;18;0;0;18;373
1;18;0;1;4;4;5;21;0;5;31;404
1;19;0;1;5;4;3;18;0;0;25;429
1;20;0;1;4;5;8;0;0;5;7;436
1;21;0;1;2;2;1;12;0;0;21;457
1;22;0;1;2;5;0;6;0;0;16;473
1;23;0;1;6;6;5;30;0;8;43;516
1;24;0;1;6;2;0;0;0;0;10;526
1;25;0;1;4;3;7;12;0;5;20;546
1;26;0;1;6;2;0;15;0;0;25;571
1;27;0;1;6;6;6;0;0;9;13;584
1;28;0;1;4;6;0;0;0;0;10;594
1;29;0;1;4;4;0;6;0;0;16;610
1;30;0;1;4;3;0;0;0;0;10;620
2;1;0;1;3;4;5;9;1;4;17;17
2;2;0;1;5;5;5;3;0;0;8;25
2;3;0;1;5;4;4;15;6;0;15;40
2;4;0;1;1;6;5;30;10;4;29;69
2;5;0;1;3;6;5;30;8;0;27;96
2;6;0;1;6;4;4;15;4;6;23;119
2;7;0;1;5;4;5;18;7;0;16;135
2;8;0;1;3;4;4;21;8;0;19;154
2;9;0;1;4;1;4;30;8;2;30;184
2;10;0;1;1;5;3;9;0;0;16;200
2;11;0;1;6;3;5;12;2;8;23;223
2;12;0;1;6;4;5;15;6;8;22;245
2;13;0;1;3;6;5;15;5;1;16;261
