schedule	Period	Subject	Rank
schedule	1	1	4
schedule	1	2	3
schedule	1	3	5
schedule	1	4	6
schedule	1	5	2
schedule	1	6	1
schedule	2	1	1
schedule	2	2	5
schedule	2	3	6
schedule	2	4	4
schedule	2	5	2
schedule	2	6	3
schedule	3	1	1
schedule	3	2	2
schedule	3	3	4
schedule	3	4	6
schedule	3	5	3
schedule	3	6	5
schedule	4	1	1
schedule	4	2	4
schedule	4	3	5
schedule	4	4	2
schedule	4	5	6
schedule	4	6	3
schedule	5	1	1
schedule	5	2	6
schedule	5	3	2
schedule	5	4	3
schedule	5	5	5
schedule	5	6	4
schedule	6	1	4
schedule	6	2	2
schedule	6	3	3
schedule	6	4	1
schedule	6	5	5
schedule	6	6	6
schedule	7	1	1
schedule	7	2	4
schedule	7	3	5
schedule	7	4	2
schedule	7	5	3
schedule	7	6	6
schedule	8	1	1
schedule	8	2	2
schedule	8	3	6
schedule	8	4	4
schedule	8	5	5
schedule	8	6	3
schedule	9	1	1
schedule	9	2	2
schedule	9	3	4
schedule	9	4	6
schedule	9	5	3
schedule	9	6	5
schedule	10	1	4
schedule	10	2	6
schedule	10	3	3
schedule	10	4	2
schedule	10	5	1
schedule	10	6	5
schedule	11	1	1
schedule	11	2	6
schedule	11	3	3
schedule	11	4	2
schedule	11	5	4
schedule	11	6	5
schedule	12	1	4
schedule	12	2	2
schedule	12	3	1
schedule	12	4	3
schedule	12	5	6
schedule	12	6	5
schedule	13	1	1
schedule	13	2	5
schedule	13	3	4
schedule	13	4	6
schedule	13	5	3
schedule	13	6	2
schedule	14	1	1
schedule	14	2	6
schedule	14	3	3
schedule	14	4	5
schedule	14	5	4
schedule	14	6	2
schedule	15	1	1
schedule	15	2	4
schedule	15	3	2
schedule	15	4	5
schedule	15	5	6
schedule	15	6	3
schedule	16	1	1
schedule	16	2	6
schedule	16	3	3
schedule	16	4	2
schedule	16	5	4
schedule	16	6	5
schedule	17	1	4
schedule	17	2	1
schedule	17	3	2
schedule	17	4	5
schedule	17	5	6
schedule	17	6	3
schedule	18	1	4
schedule	18	2	5
schedule	18	3	6
schedule	18	4	1
schedule	18	5	2
schedule	18	6	3
schedule	19	1	1
schedule	19	2	6
schedule	19	3	2
schedule	19	4	3
schedule	19	5	5
schedule	19	6	4
schedule	20	1	1
schedule	20	2	2
schedule	20	3	4
schedule	20	4	3
schedule	20	5	6
schedule	20	6	5
schedule	21	1	1
schedule	21	2	5
schedule	21	3	6
schedule	21	4	4
schedule	21	5	2
schedule	21	6	3
schedule	22	1	4
schedule	22	2	1
schedule	22	3	5
schedule	22	4	2
schedule	22	5	6
schedule	22	6	3
schedule	23	1	1
schedule	23	2	6
schedule	23	3	5
schedule	23	4	3
schedule	23	5	2
schedule	23	6	4
schedule	24	1	4
schedule	24	2	6
schedule	24	3	3
schedule	24	4	2
schedule	24	5	1
schedule	24	6	5
schedule	25	1	4
schedule	25	2	3
schedule	25	3	5
schedule	25	4	6
schedule	25	5	2
schedule	25	6	1
schedule	26	1	4
schedule	26	2	3
schedule	26	3	6
schedule	26	4	5
schedule	26	5	1
schedule	26	6	2
schedule	27	1	1
schedule	27	2	5
schedule	27	3	4
schedule	27	4	6
schedule	27	5	3
schedule	27	6	2
schedule	28	1	4
schedule	28	2	1
schedule	28	3	2
schedule	28	4	5
schedule	28	5	6
schedule	28	6	3
schedule	29	1	4
schedule	29	2	2
schedule	29	3	6
schedule	29	4	1
schedule	29	5	5
schedule	29	6	3
schedule	30	1	4
schedule	30	2	5
schedule	30	3	1
schedule	30	4	3
schedule	30	5	6
schedule	30	6	2
schedule	31	1	1
schedule	31	2	6
schedule	31	3	2
schedule	31	4	3
schedule	31	5	5
schedule	31	6	4
schedule	32	1	4
schedule	32	2	6
schedule	32	3	3
schedule	32	4	5
schedule	32	5	1
schedule	32	6	2
schedule	33	1	1
schedule	33	2	3
schedule	33	3	5
schedule	33	4	6
schedule	33	5	2
schedule	33	6	4
schedule	34	1	1
schedule	34	2	5
schedule	34	3	4
schedule	34	4	3
schedule	34	5	6
schedule	34	6	2
schedule	35	1	4
schedule	35	2	1
schedule	35	3	5
schedule	35	4	2
schedule	35	5	6
schedule	35	6	3
schedule	36	1	4
schedule	36	2	2
